Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
1,Matt Barnes\barnema02,37-095,F,GSW,,CLE,W,2017-06-12 *,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4.1
2,Stephen Curry\curryst01,29-090,G,GSW,,CLE,W,2017-06-12 *,1,41,10,20,.500,8,11,.727,2,9,.222,12,15,.800,2,4,6,10,3,0,4,3,34,30.2,10.6
3,Kevin Durant\duranke01,28-256,F-G,GSW,,CLE,W,2017-06-12 *,1,40,14,20,.700,9,12,.750,5,8,.625,6,6,1.000,1,5,6,5,1,0,4,3,39,32.1,15.2
4,Draymond Green\greendr01,27-100,F,GSW,,CLE,W,2017-06-12 *,1,44,3,10,.300,1,5,.200,2,5,.400,2,4,.500,3,9,12,5,2,0,0,4,10,12.1,1.6
5,Andre Iguodala\iguodan01,33-135,G-F,GSW,,CLE,W,2017-06-12 *,0,38,9,14,.643,7,7,1.000,2,7,.286,0,0,,1,3,4,3,0,0,1,1,20,16.1,3.8
6,Kyrie Irving\irvinky01,25-081,G,CLE,@,GSW,L,2017-06-12 *,1,42,9,22,.409,8,20,.400,1,2,.500,7,7,1.000,1,1,2,6,2,0,4,3,26,16.2,-2.8
7,LeBron James\jamesle01,32-164,F-G,CLE,@,GSW,L,2017-06-12 *,1,46,19,30,.633,17,25,.680,2,5,.400,1,4,.250,2,11,13,8,2,1,2,3,41,36.2,12.7
8,Richard Jefferson\jefferi01,36-356,F,CLE,@,GSW,L,2017-06-12 *,0,17,1,3,.333,1,2,.500,0,1,.000,2,2,1.000,2,0,2,0,0,0,1,4,4,1.1,-9.8
9,Kyle Korver\korveky01,36-087,G-F,CLE,@,GSW,L,2017-06-12 *,0,18,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,1,3,3,-0.9,-11.0
10,Shaun Livingston\livinsh01,31-274,G,GSW,,CLE,W,2017-06-12 *,0,10,2,3,.667,2,3,.667,0,0,,1,1,1.000,0,0,0,0,0,0,0,2,5,2.9,-2.9
11,Kevin Love\loveke01,28-278,F,CLE,@,GSW,L,2017-06-12 *,1,30,2,8,.250,2,5,.400,0,3,.000,2,5,.400,3,7,10,2,0,1,0,2,6,5.5,-6.1
12,Patrick McCaw\mccawpa01,21-230,G,GSW,,CLE,W,2017-06-12 *,0,12,2,5,.400,2,3,.667,0,2,.000,2,2,1.000,2,1,3,1,1,0,1,2,6,4.9,-0.5
13,Zaza Pachulia\pachuza01,33-122,C,GSW,,CLE,W,2017-06-12 *,1,10,0,1,.000,0,1,.000,0,0,,0,0,,3,0,3,1,0,0,2,4,0,-1.5,-17.5
14,Iman Shumpert\shumpim01,26-351,G,CLE,@,GSW,L,2017-06-12 *,0,4,0,1,.000,0,0,,0,1,.000,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-43.7
15,J.R. Smith\smithjr01,31-276,G-F,CLE,@,GSW,L,2017-06-12 *,1,41,9,11,.818,2,3,.667,7,8,.875,0,1,.000,0,3,3,1,0,2,0,2,25,22.7,14.5
16,Klay Thompson\thompkl01,27-124,G-F,GSW,,CLE,W,2017-06-12 *,1,34,4,13,.308,1,6,.167,3,7,.429,0,0,,1,4,5,2,1,1,0,4,11,6.9,-2.2
17,Tristan Thompson\thomptr01,26-091,F-C,CLE,@,GSW,L,2017-06-12 *,1,30,6,8,.750,6,8,.750,0,0,,3,4,.750,4,4,8,3,1,1,3,1,15,15.8,6.5
18,David West\westda01,36-287,F-C,GSW,,CLE,W,2017-06-12 *,0,11,2,4,.500,2,4,.500,0,0,,0,0,,0,3,3,0,0,1,1,1,4,2.2,-5.8
19,Deron Williams\willide01,32-351,G,CLE,@,GSW,L,2017-06-12 *,0,12,0,2,.000,0,0,,0,2,.000,0,0,,0,2,2,2,1,0,2,1,0,-0.8,-12.1
20,Matt Barnes\barnema02,37-092,F,GSW,@,CLE,L,2017-06-09 *,0,3,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,1,0,-0.4,-13.7
